alpha, epsilon, q, q_hat
0.0, 0.2, 0.0, 0.0
0.1, 0.2, 0.03976940819437272, 0.04141651862974905
0.2, 0.2, 0.07763376239366812, 0.08416804434986529
0.30000000000000004, 0.2, 0.11366114463527538, 0.12823667150246315
0.4, 0.2, 0.14793867878276218, 0.173624450610456
0.5, 0.2, 0.18055144524094277, 0.2203328618890912
0.6000000000000001, 0.2, 0.21158766647901636, 0.2683718372771815
0.7000000000000001, 0.2, 0.24112526403145332, 0.31774053424470217
0.8, 0.2, 0.26926119539519683, 0.3684780303145639
0.9, 0.2, 0.2960705183160643, 0.420596843888121
1.0, 0.2, 0.32162913112768393, 0.47411990385486524
1.1, 0.2, 0.3460026033733669, 0.5290580744786966
1.2000000000000002, 0.2, 0.36926703395305516, 0.5854570061041823
1.3, 0.2, 0.39148088144149945, 0.6433337417053793
1.4000000000000001, 0.2, 0.41270239166062717, 0.7027142385741592
1.5, 0.2, 0.43298275063756203, 0.7636147773712596
1.6, 0.2, 0.4523779955080784, 0.8260770966056968
1.7000000000000002, 0.2, 0.47093307902772485, 0.8901200592210212
1.8, 0.2, 0.48869218868312075, 0.9557690648701187
1.9000000000000001, 0.2, 0.5056966372243968, 1.0230491542376292
2.0, 0.2, 0.5219850890111282, 1.0919849507022594
2.1, 0.2, 0.5375913527427908, 1.1625893156011031
2.2, 0.2, 0.5525537818112121, 1.2349054687463614
2.3000000000000003, 0.2, 0.5669022878537516, 1.3089477777299368
2.4000000000000004, 0.2, 0.5806668660002338, 1.384738812460638
2.5, 0.2, 0.5938757422197193, 1.46230059111863
2.6, 0.2, 0.6065555044983797, 1.5416545699160298
2.7, 0.2, 0.6187297680008603, 1.6228116335141962
2.8000000000000003, 0.2, 0.6304249266042931, 1.7058101911794576
2.9000000000000004, 0.2, 0.6416620485520691, 1.7906617090356036
3.0, 0.2, 0.6524622630672804, 1.8773853706528325
3.1, 0.2, 0.662845560012074, 1.9659997953335908
3.2, 0.2, 0.6728308649575694, 2.056523042341112
3.3000000000000003, 0.2, 0.6824361079571903, 2.148972616399328
3.4000000000000004, 0.2, 0.6916782866671689, 2.2433654742976437
3.5, 0.2, 0.7005735243873891, 2.3397180324620663
3.6, 0.2, 0.709137123531311, 2.4380461753689926
3.7, 0.2, 0.7173827503737246, 2.53835443987361
3.8000000000000003, 0.2, 0.7253259266083061, 2.640678523647801
3.9000000000000004, 0.2, 0.7329789327217029, 2.7450228560346925
4.0, 0.2, 0.7403542466042304, 2.851401330164382
4.1000000000000005, 0.2, 0.7474637380651448, 2.9598273623689026
4.2, 0.2, 0.7543187027615829, 3.0703139035836626
4.3, 0.2, 0.7609298938347875, 3.182873450973989
4.4, 0.2, 0.7673075514515243, 3.297518059730566
4.5, 0.2, 0.7734614304274264, 3.414259354982118
4.6000000000000005, 0.2, 0.7794008260903886, 3.533108543777872
4.7, 0.2, 0.7851349913431943, 3.6540849357061003
4.800000000000001, 0.2, 0.7906714596351336, 3.7771794436485724
4.9, 0.2, 0.7960191197809638, 3.902420260792055
5.0, 0.2, 0.801184301005762, 4.029783890602028
5.1000000000000005, 0.2, 0.8061764490999539, 4.1593317497092785
5.2, 0.2, 0.8110015033394014, 4.291047376931196
5.300000000000001, 0.2, 0.8156659265539037, 4.4249330105126985
5.4, 0.2, 0.8201763104991362, 4.561002572996348
5.5, 0.2, 0.8245391519350854, 4.699277138054377
5.6000000000000005, 0.2, 0.8287595612821506, 4.839742104653718
5.7, 0.2, 0.8328434135233135, 4.982414579514465
5.800000000000001, 0.2, 0.8367963028474373, 5.127312171520237
5.9, 0.2, 0.8406227984431236, 5.274423130984224
6.0, 0.2, 0.8443279933555115, 5.423762509104937
6.1000000000000005, 0.2, 0.8479165329277537, 5.575336683539415
6.2, 0.2, 0.8513928603204162, 5.72915179012347
6.300000000000001, 0.2, 0.85476144142201, 5.885223936335211
6.4, 0.2, 0.858025937054456, 6.043540061141751
6.5, 0.2, 0.8611904318588224, 6.20411433729799
6.6000000000000005, 0.2, 0.8642586518977182, 6.366952030316473
6.7, 0.2, 0.8672341646017966, 6.532058206094279
6.800000000000001, 0.2, 0.8701203861946042, 6.699437738537955
6.9, 0.2, 0.8729205887431526, 6.869095316934095
7.0, 0.2, 0.875638074666361, 7.041046303498387
7.1000000000000005, 0.2, 0.8782755247812054, 7.21527468656195
7.2, 0.2, 0.8808359727093938, 7.391794258189117
7.300000000000001, 0.2, 0.8833221775743983, 7.570609043013626
7.4, 0.2, 0.8857367846542438, 7.751722914273303
7.5, 0.2, 0.8880823305724425, 7.935139599625804
7.6000000000000005, 0.2, 0.8903612482371761, 8.120862686974496
7.7, 0.2, 0.8925758715365635, 8.308895629908376
7.800000000000001, 0.2, 0.8947285595460072, 8.499252557839117
7.9, 0.2, 0.8968212284603386, 8.691916128460642
8.0, 0.2, 0.8988560542159767, 8.886899233052864
8.1, 0.2, 0.90083501716509, 9.084204841388424
8.200000000000001, 0.2, 0.9027600189128098, 9.283835813412486
8.3, 0.2, 0.9046328858045668, 9.485794903584141
8.4, 0.2, 0.9064553722464636, 9.690084765046224
8.5, 0.2, 0.9082291638671443, 9.896707953628207
